Participant_id,Technique,Gesture_set,height,distance,Checkpoint_time,Object_view_time,mistake_count,personalization_type
1,WRIST_ARM,GS2,2.5,10.5,2.658369,0.6395587,0,W3
1,WRIST_ARM,GS2,0,3.5,2.048198,1.056916,0,W3
1,WRIST_ARM,GS2,2.5,3.5,2.421958,1.126099,0,W3
1,WRIST_ARM,GS2,0,10.5,2.590089,0.5832361,0,W3
1,WRIST_ARM,GS2,0,10.5,2.408507,0.8334697,0,W3
1,WRIST_ARM,GS2,0,3.5,1.629718,0.666685,0,W3
1,WRIST_ARM,GS2,5,7,2.267544,1.139679,0,W3
1,WRIST_ARM,GS2,0,10.5,9.495533,0.6113494,3,W3
1,WRIST_ARM,GS2,5,3.5,2.687322,1.726959,0,W3
1,WRIST_ARM,GS2,0,3.5,2.33939,1.615784,0,W3
1,WRIST_ARM,GS2,5,3.5,2.381534,1.37756,0,W3
1,WRIST_ARM,GS2,0,10.5,1.933051,0.5954807,0,W3
1,WRIST_ARM,GS2,0,10.5,1.907298,0.4180764,0,W3
1,WRIST_ARM,GS2,5,7,3.177482,1.75446,0,W3
1,WRIST_ARM,GS2,0,10.5,9.032044,0.8727522,3,W3
1,WRIST_ARM,GS2,2.5,7,2.64674,0.7940473,0,W3
1,WRIST_ARM,GS2,0,3.5,3.384169,0.7940473,11,W3
1,WRIST_ARM,GS2,2.5,3.5,1.836335,0.6126731,0,W3
1,WRIST_ARM,GS2,0,3.5,2.952217,1.125637,1,W3
1,WRIST_ARM,GS2,5,7,2.306602,0.7532016,0,W3
1,WRIST_ARM,GS2,0,10.5,3.917482,0.5873921,2,W3
1,WRIST_ARM,GS2,5,7,4.254861,0.7776526,1,W3
1,WRIST_ARM,GS2,0,10.5,13.91301,0.7862212,3,W3
1,WRIST_ARM,GS2,2.5,3.5,2.473458,0.7791676,0,W3
1,WRIST_ARM,GS2,0,10.5,2.636158,0.7263816,0,W3
1,WRIST_ARM,GS2,5,10.5,3.36502,0.7922723,0,W3
1,WRIST_ARM,GS2,0,7,4.138136,0.9763012,1,W3
1,WRIST_ARM,GS2,0,3.5,1.573143,0.4730878,0,W3
1,WRIST_ARM,GS2,5,3.5,2.92155,1.599431,0,W3
1,WRIST_ARM,GS2,0,3.5,2.338037,1.475408,0,W3
1,WRIST_ARM,GS2,0,7,1.824579,0.808737,0,W3
1,WRIST_ARM,GS2,2.5,7,4.358248,0.6270238,2,W3
1,WRIST_ARM,GS2,0,10.5,2.867694,0.709655,0,W3
1,WRIST_ARM,GS2,0,7,2.491264,0.5294564,1,W3
1,WRIST_ARM,GS2,0,10.5,2.743309,0.7110983,1,W3
1,WRIST_ARM,GS2,0,7,4.386119,0.5020927,3,W3
1,WRIST_ARM,GS2,0,3.5,1.740016,0.6126232,0,W3
1,WRIST_ARM,GS2,2.5,10.5,2.941391,0.9314628,0,W3
1,WRIST_ARM,GS2,0,10.5,4.409835,0.8172267,1,W3
1,WRIST_ARM,GS2,0,7,1.783295,0.822338,0,W3
1,WRIST_ARM,GS2,2.5,10.5,4.899774,0.722696,1,W3
1,WRIST_ARM,GS2,0,10.5,2.826972,1.252286,0,W3
1,WRIST_ARM,GS2,5,7,3.02037,1.322073,1,W3
1,WRIST_ARM,GS2,0,3.5,2.853334,1.614691,0,W3
1,WRIST_ARM,GS2,5,3.5,3.204516,1.700532,1,W3
1,WRIST_ARM,GS2,0,3.5,4.71945,1.224354,1,W3
1,WRIST_ARM,GS2,0,10.5,3.130874,0.7915182,0,W3
1,WRIST_ARM,GS2,5,10.5,1.810661,0.7235864,0,W3
1,WRIST_ARM,GS2,0,7,5.399397,1.001137,3,W3
1,WRIST_ARM,GS2,5,3.5,4.097301,1.325223,0,W3
1,WRIST_ARM,GS2,0,3.5,2.69725,1.863244,0,W3
1,WRIST_ARM,GS2,2.5,10.5,2.662235,0.7943974,1,W3
1,WRIST_ARM,GS2,0,7,3.979435,0.8333291,1,W3
1,WRIST_ARM,GS2,2.5,7,8.493964,0.6410486,4,W3
1,WRIST_ARM,GS2,0,3.5,2.184171,0.7094117,0,W3
1,WRIST_ARM,GS2,0,7,2.605987,0.850721,0,W3
1,WRIST_ARM,GS2,2.5,7,2.615644,1.056507,0,W3
1,WRIST_ARM,GS2,0,10.5,2.743593,0.6400249,0,W3
1,WRIST_ARM,GS2,5,10.5,13.07204,0.7096447,0,W3
1,WRIST_ARM,GS2,0,7,1.880734,0.9187536,0,W3
1,WRIST_ARM,GS2,2.5,3.5,2.519343,0.8351216,1,W3
10,WRIST_ARM,GS2,0,7,2.256228,0.5839475,0,W1
10,WRIST_ARM,GS2,5,10.5,3.258024,0.9204549,1,W1
10,WRIST_ARM,GS2,0,3.5,9.376143,2.170443,0,W1
10,WRIST_ARM,GS2,5,7,3.321738,0.928803,0,W1
