,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,5.5,1.934469,1.381852,1.934469,0,0.4539017,0.4539017,1,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,2.5,5.5,1.643243,0.1537406,3.577711,0,0.4411294,0.4484785,2,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,5.5,3.341271,2.219445,6.91898,0,0.5054148,0.5054148,3,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,11,1.615558,0.2225931,8.534539,0,0.476211,0.8593702,4,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,2.5,11,2.114613,0.3070489,10.64915,0,0.504427,5.265687,5,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,11,,0.7044245,16.1911,1,0.4939056,2.284698,6,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,5.5,1.547784,0.3558392,17.73888,0,0.4584391,2.173259,7,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,5,5.5,2.322408,0.6242583,20.06129,0,0.469944,0.469944,8,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,11,2.200038,0.5748639,22.26132,0,0.5041275,0.5041275,9,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,11,1.977055,0.7241984,24.23839,0,0.4831787,1.93362,10,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,2.5,11,4.358015,0.2927368,28.5964,2,0.4767144,5.905833,11,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,5.5,2.382503,1.0595,30.97891,0,0.4463154,0.4463154,12,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,5,5.5,2.14188,0.573256,33.12081,0,0.466972,13.04835,13,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,5.5,2.637958,1.388093,35.75877,0,0.4705462,0.4705462,14,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,11,1.676037,0.111394,37.43479,0,0.501376,0.501376,15,,,,,,,,,,
W1,7/27/2022 14:59,1,WRIST_ARM,GS2,G,0,5.5,1.581677,0.3646149,39.01648,0,0.4459793,0.4459793,16,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,2.5,5.5,1.525051,0.3972518,40.54153,0,0.4715641,9.24594,17,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,0,5.5,1.93511,0.9529177,42.47664,0,0.4972342,0.4972342,18,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,5,11,3.174359,0.2557639,45.65102,0,0.4817305,8.380283,19,,,,,,,,,,
