Condition,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index
W3,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,11,1.322865,0.01396844,29.44488,0,0.4385509,0.4385509,16
W3,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,5.5,1.43364,0.52951,30.87852,0,0.4687884,0.457005,17
W3,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,5.5,1.281081,0.2766416,32.1596,0,0.4266979,0.495925,18
W3,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,5.5,1.420143,0.5711442,33.57973,0,0.4732222,0.4732222,19
W3,7/25/2022 16:58,1,WRIST_ARM,GS2,G,2.5,11,1.601403,0.2510454,35.18112,0,0.4784826,0.4994886,20
W4,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,11,1.583497,0.2510454,1.583497,0,0.4681707,0.4449236,1
W4,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,5.5,1.308611,0.1531341,2.892107,0,0.5038406,0.4666261,2
W4,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,11,1.601174,0.1535276,4.493281,1,0.489563,0.489563,3
W4,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,5.5,2.505829,1.294761,6.999107,0,0.5054536,0.5054536,4
W4,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,5.5,1.475609,0.6167169,8.474714,0,0.4759606,0.4759606,5
W4,7/25/2022 16:58,1,WRIST_ARM,GS2,G,2.5,11,2.506844,0.1547036,10.98156,1,0.4543252,0.453144,6
W4,7/25/2022 16:58,1,WRIST_ARM,GS2,G,0,5.5,1.461508,0.4888581,12.44306,0,0.4823477,0.4823477,7
W4,7/25/2022 16:58,1,WRIST_ARM,GS2,G,2.5,5.5,1.628624,0.3760639,14.07168,0,0.5009267,0.5009267,8
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,5.5,1.670837,0.2809394,15.74252,0,0.4670832,0.4670832,9
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,2.5,11,1.238978,0.2377444,16.98149,0,0.5047896,0.5047896,10
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,5.5,2.478383,0.8190387,19.45986,1,0.4680869,0.4680869,11
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,5,11,2.19954,0.8408929,21.65939,0,0.4992909,0.4992909,12
