,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time_o,checkpoint_time,object_view_time,,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
,1,WRIST_ARM,GS2,G,0,7.5,1.71887,1.71887,0.5801039,,0,0.2307187,0.3299116,7.035107,4.630547,17.27664,W3,C0,22
,1,WRIST_ARM,GS2,G,5,10.5,2.072011,2.072011,0.4720428,,0,0.2307187,0.3299116,10.01468,-4.937803,327.5664,W3,C0,23
,1,WRIST_ARM,GS2,G,0,10.5,2.274273,2.274273,0.7881089,,0,0.2808468,0.2808468,10.0121,4.687078,9.959623,W3,C0,24
,1,WRIST_ARM,GS2,G,0,7.5,2.225517,2.225517,0.7224491,,0,0.2869758,0.2869758,0.4248993,-0.1897889,357.6912,W3,C0,25
,1,WRIST_ARM,GS2,G,0,10.5,2.690215,2.690215,1.203502,,0,0.2869758,0.2869758,9.876248,-0.1801401,353.4892,W3,C0,26
,1,WRIST_ARM,GS2,G,0,10.5,3.377044,3.377044,0.8892654,,0,0.2869758,0.2869758,9.969589,-0.1488197,352.2665,W3,C0,27
,1,WRIST_ARM,GS2,G,0,7.5,1.899837,1.899837,1.052295,,0,0.323428,0.323428,6.933333,-0.1875627,359.3899,W3,C0,28
,1,WRIST_ARM,GS2,G,0,10.5,3.306007,3.306007,0.5552931,,1,0.323428,0.323428,10.05936,-0.1420622,351.8854,W3,C0,29
,1,WRIST_ARM,GS2,G,5,10.5,3.038677,3.038677,1.163575,,0,0.3107454,0.3107454,9.947117,-4.965755,327.5218,W3,C0,30
,2,WRIST_ARM,GS2,G,0,7.5,2.258434,2.258434,1.905354,,0,0.3374375,0.3374375,0.4070973,-3.53E-05,356.5027,W3,C0,1
,2,WRIST_ARM,GS2,G,0,10.5,2.545101,2.545101,0.388479,,0,0.3374375,0.3374375,9.959971,-0.0102545,352.0721,W3,C0,2
,2,WRIST_ARM,GS2,G,5,10.5,2.859485,2.859485,0.7924788,,0,0.2950909,12.33388,0.3899376,0.1800485,326.8623,W3,C0,3
