participant_id,height,distance,checkpoint_time,mistake_count,pointerHand,confirmationType,Tech,targetSize,combo_index
1,0,5.5,2.300604,0,lefthand,righthand,lefthandrighthand,0.9,38
1,0,11,2.657333,1,lefthand,righthand,lefthandrighthand,0.5,39
1,0,11,1.978655,0,lefthand,righthand,lefthandrighthand,0.7,40
1,5,5.5,1.724949,1,lefthand,righthand,lefthandrighthand,0.9,41
1,0,5.5,2.395978,1,lefthand,righthand,lefthandrighthand,0.5,42
1,5,11,2.796589,1,lefthand,righthand,lefthandrighthand,0.5,43
1,0,11,2.466878,0,lefthand,righthand,lefthandrighthand,0.7,44
1,0,5.5,1.180593,0,lefthand,righthand,lefthandrighthand,0.7,45
1,5,11,2.454303,0,lefthand,righthand,lefthandrighthand,0.9,46
1,0,11,4.142746,0,lefthand,righthand,lefthandrighthand,0.5,47
1,0,5.5,1.298815,0,lefthand,righthand,lefthandrighthand,0.9,48
1,0,11,3.380901,0,lefthand,righthand,lefthandrighthand,0.9,49
1,0,5.5,1.717604,1,lefthand,righthand,lefthandrighthand,0.5,50
1,0,5.5,1.540429,0,lefthand,righthand,lefthandrighthand,0.7,51
1,5,5.5,2.483732,0,lefthand,righthand,lefthandrighthand,0.5,52
1,0,11,2.555948,1,lefthand,righthand,lefthandrighthand,0.7,53
1,0,5.5,1.257328,0,lefthand,righthand,lefthandrighthand,0.9,54
1,0,5.5,2.391059,0,lefthand,righthand,lefthandrighthand,0.7,55
1,0,11,2.229807,0,lefthand,righthand,lefthandrighthand,0.5,56
1,5,11,4.259748,3,lefthand,righthand,lefthandrighthand,0.5,57
1,0,11,2.326906,0,lefthand,righthand,lefthandrighthand,0.5,58
1,5,11,2.880382,0,lefthand,righthand,lefthandrighthand,0.9,59
1,0,11,2.117872,0,lefthand,righthand,lefthandrighthand,0.5,60
1,0,5.5,1.559911,0,lefthand,righthand,lefthandrighthand,0.5,61
1,0,5.5,1.451605,0,lefthand,righthand,lefthandrighthand,0.5,62
1,0,5.5,1.519031,3,righthand,lefthand,righthandlefthand,0.5,1
1,5,5.5,1.722856,0,righthand,lefthand,righthandlefthand,0.5,2
1,0,11,2.436081,1,righthand,lefthand,righthandlefthand,0.9,3
